Region;Code;Label;count
PT11;FORFOR;Forest land remaining Forest land;715516
PT11;FORCRP;Forest land converted to Cropland;4
PT11;FORART;Forest land converted to Artificial land;2258
PT11;CRPFOR;Cropland converted to Forest land;106
PT11;CRPCRP;Cropland remaining Cropland;884868
PT11;CRPGRS;Cropland converted to Grassland;22769
PT11;CRPART;Cropland converted to Artificial land;10654
PT11;GRSFOR;Grassland converted to Forest land;114
PT11;GRSCRP;Grassland converted to Cropland;56
PT11;GRSGRS;Grassland remaining Grassland;7261
PT11;GRSART;Grassland converted to Artificial land;6476
PT11;ARTART;Artificial land remaining Artificial land;98990
PT11;RESCRP;Residual land converted to Cropland;93
PT11;RESART;Residual land converted to Artificial land;128
PT11;RESRES;Residual land remaining Residual land;319880
PT15;FORFOR;Forest land remaining Forest land;166167
PT15;FORGRS;Forest land converted to Grassland;198
PT15;FORART;Forest land converted to Artificial land;877
PT15;CRPFOR;Cropland converted to Forest land;1
PT15;CRPCRP;Cropland remaining Cropland;172859
PT15;CRPGRS;Cropland converted to Grassland;354
PT15;CRPART;Cropland converted to Artificial land;4246
PT15;GRSCRP;Grassland converted to Cropland;734
PT15;GRSGRS;Grassland remaining Grassland;8813
PT15;GRSART;Grassland converted to Artificial land;821
PT15;ARTART;Artificial land remaining Artificial land;12037
PT15;RESGRS;Residual land converted to Grassland;710
PT15;RESART;Residual land converted to Artificial land;89
PT15;RESRES;Residual land remaining Residual land;103249
PT16;FORFOR;Forest land remaining Forest land;1404892
PT16;FORCRP;Forest land converted to Cropland;2
PT16;FORART;Forest land converted to Artificial land;214
PT16;CRPFOR;Cropland converted to Forest land;236
PT16;CRPCRP;Cropland remaining Cropland;867769
PT16;CRPGRS;Cropland converted to Grassland;52865
PT16;CRPART;Cropland converted to Artificial land;17360
PT16;GRSGRS;Grassland remaining Grassland;56715
PT16;GRSART;Grassland converted to Artificial land;7686
PT16;ARTART;Artificial land remaining Artificial land;89128
PT16;RESART;Residual land converted to Artificial land;26
PT16;RESRES;Residual land remaining Residual land;257546
PT17;FORFOR;Forest land remaining Forest land;65282
PT17;FORCRP;Forest land converted to Cropland;1
PT17;FORGRS;Forest land converted to Grassland;14
PT17;FORART;Forest land converted to Artificial land;490
PT17;CRPFOR;Cropland converted to Forest land;8790
PT17;CRPCRP;Cropland remaining Cropland;82607
PT17;CRPGRS;Cropland converted to Grassland;7994
PT17;CRPART;Cropland converted to Artificial land;12125
PT17;GRSFOR;Grassland converted to Forest land;2943
PT17;GRSCRP;Grassland converted to Cropland;896
PT17;GRSGRS;Grassland remaining Grassland;13185
PT17;GRSART;Grassland converted to Artificial land;562
PT17;ARTART;Artificial land remaining Artificial land;56924
PT17;RESGRS;Residual land converted to Grassland;62
PT17;RESART;Residual land converted to Artificial land;14
PT17;RESRES;Residual land remaining Residual land;14819
PT18;FORFOR;Forest land remaining Forest land;674003
PT18;FORCRP;Forest land converted to Cropland;299661
PT18;FORGRS;Forest land converted to Grassland;3361
PT18;FORART;Forest land converted to Artificial land;614
PT18;CRPCRP;Cropland remaining Cropland;1112717
PT18;CRPGRS;Cropland converted to Grassland;246
PT18;CRPART;Cropland converted to Artificial land;17
PT18;GRSCRP;Grassland converted to Cropland;56888
PT18;GRSGRS;Grassland remaining Grassland;843554
PT18;GRSART;Grassland converted to Artificial land;2315
PT18;ARTART;Artificial land remaining Artificial land;27070
PT18;RESCRP;Residual land converted to Cropland;67267
PT18;RESGRS;Residual land converted to Grassland;488
PT18;RESART;Residual land converted to Artificial land;29
PT18;RESRES;Residual land remaining Residual land;5
