Region,Year,ForestAreaOriginal,ForestsMatMin,ForestsMatMax,ForestsYoMin,ForestsYoMax,ForestsPlMin,ForestsPlMax
NL,2000,359999.7188,251999,467999,0,99000000,0,99000000
NL,2001,359878.5375,251914,467842,0,99000000,0,99000000
NL,2002,359757.3563,251830,467684,0,99000000,0,99000000
NL,2003,359636.175,251745,467527,0,99000000,0,99000000
NL,2004,359514.9938,251660,467369,0,99000000,0,99000000
NL,2005,359393.8125,251575,467211,0,99000000,0,99000000
NL,2006,361073.668,252751,469395,0,99000000,0,99000000
NL,2007,362753.5235,253927,471579,0,99000000,0,99000000
NL,2008,364433.3789,255103,473763,0,99000000,0,99000000
NL,2009,366113.2344,256279,475947,0,99000000,0,99000000
NL,2010,367793.0899,257455,478131,0,99000000,0,99000000
NL,2011,368107.8274,257675,478540,0,99000000,0,99000000
NL,2012,368422.5649,257895,478949,0,99000000,0,99000000
NL,2013,368737.3024,258116,479358,0,99000000,0,99000000
NL,2014,369052.0399,258336,479767,0,99000000,0,99000000
NL,2015,369366.7774,258556,480176,0,99000000,0,99000000
NL,2016,368723.4211,258106,479340,0,99000000,0,99000000
NL,2017,368080.0649,257656,478504,0,99000000,0,99000000
NL,2018,367436.7086,257205,477667,0,99000000,0,99000000
NL,2019,366793.3524,256755,476831,0,99000000,0,99000000
NL,2020,366149.9961,256304,475994,0,99000000,0,99000000
NL,2021,368736.4781,258115,479357,0,99000000,0,99000000
NL,2022,371322.9602,259926,482719,0,99000000,0,99000000
NL,2023,373909.4422,261736,486082,0,99000000,0,99000000
NL,2024,376495.9243,263547,489444,0,99000000,0,99000000
NL,2025,379082.4063,265357,492807,0,99000000,0,99000000
NL,2026,383959.5422,268771,499147,0,99000000,0,99000000
NL,2027,388836.6782,272185,505487,0,99000000,0,99000000
NL,2028,393713.8141,275599,511827,0,99000000,0,99000000
NL,2029,398590.9501,279013,518168,0,99000000,0,99000000
NL,2030,403468.086,282427,524508,0,99000000,0,99000000
NL,2031,403054.0672,282137,523970,0,99000000,0,99000000
NL,2032,402640.0485,281848,523432,0,99000000,0,99000000
NL,2033,402226.0297,281558,522893,0,99000000,0,99000000
NL,2034,401812.011,281268,522355,0,99000000,0,99000000
NL,2035,401397.9922,280978,521817,0,99000000,0,99000000
NL,2036,400924.5985,280647,521201,0,99000000,0,99000000
NL,2037,400451.2047,280315,520586,0,99000000,0,99000000
NL,2038,399977.811,279984,519971,0,99000000,0,99000000
NL,2039,399504.4172,279653,519355,0,99000000,0,99000000
NL,2040,399031.0235,279321,518740,0,99000000,0,99000000
NL,2041,398465.336,278925,518004,0,99000000,0,99000000
NL,2042,397899.6485,278529,517269,0,99000000,0,99000000
NL,2043,397333.961,278133,516534,0,99000000,0,99000000
NL,2044,396768.2735,277737,515798,0,99000000,0,99000000
NL,2045,396202.586,277341,515063,0,99000000,0,99000000
NL,2046,395533.5047,276873,514193,0,99000000,0,99000000
NL,2047,394864.4235,276405,513323,0,99000000,0,99000000
NL,2048,394195.3422,275936,512453,0,99000000,0,99000000
NL,2049,393526.261,275468,511584,0,99000000,0,99000000
NL,2050,392857.1797,275000,510714,0,99000000,0,99000000
NL,2051,392147.3985,274503,509791,0,99000000,0,99000000
NL,2052,391437.6172,274006,508868,0,99000000,0,99000000
NL,2053,390727.836,273509,507946,0,99000000,0,99000000
NL,2054,390018.0547,273012,507023,0,99000000,0,99000000
NL,2055,389308.2735,272515,506100,0,99000000,0,99000000
NL,2056,388613.4297,272029,505197,0,99000000,0,99000000
NL,2057,387918.586,271543,504294,0,99000000,0,99000000
NL,2058,387223.7422,271056,503390,0,99000000,0,99000000
NL,2059,386528.8985,270570,502487,0,99000000,0,99000000
NL,2060,385834.0547,270083,501584,0,99000000,0,99000000
NL,2061,385185.5422,269629,500741,0,99000000,0,99000000
NL,2062,384537.0297,269175,499898,0,99000000,0,99000000
NL,2063,383888.5172,268721,499055,0,99000000,0,99000000
NL,2064,383240.0047,268268,498212,0,99000000,0,99000000
NL,2065,382591.4922,267814,497368,0,99000000,0,99000000
NL,2066,382000.336,267400,496600,0,99000000,0,99000000
NL,2067,381409.1797,266986,495831,0,99000000,0,99000000
NL,2068,380818.0235,266572,495063,0,99000000,0,99000000
NL,2069,380226.8672,266158,494294,0,99000000,0,99000000
NL,2070,379635.711,265744,493526,0,99000000,0,99000000
